prompt,model,temperature,top_p,lexical_diversity,query_coverage,flesch_kincaid_grade,repetition_penalty
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.7,0.6,91.19,28.84,6.73,10.72
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.7,0.8,96.78,27.25,6.83,3.82
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.7,1.0,99.09,25.32,7.09,5.49
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.9,0.2,93.19,26.34,6.37,13.25
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.9,0.4,94.55,25.75,6.47,10.32
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.9,0.6,99.32,26.71,7.71,8.49
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.9,0.8,99.39,25.62,6.95,3.52
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.9,1.0,100.0,25.18,8.07,1.59
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.1,0.2,85.27,82.1,7.7,22.61
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.1,0.4,89.68,80.43,7.31,17.29
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.1,0.6,92.03,79.59,8.28,15.71
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.1,0.8,95.19,77.65,7.61,8.35
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.1,1.0,96.48,77.15,8.48,5.64
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.3,0.2,90.16,80.77,7.53,19.78
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.3,0.4,93.48,77.73,8.16,12.63
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.3,0.6,97.5,78.33,7.59,12.15
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.3,0.8,98.2,77.58,8.16,6.9
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.3,1.0,100.0,75.64,8.17,8.41
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.5,0.2,96.17,79.2,8.17,19.7
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.5,0.4,100.0,76.2,8.4,14.03
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.5,0.6,100.0,74.44,8.7,12.46
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.5,0.8,100.0,71.79,8.0,8.83
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.5,1.0,100.0,71.34,8.54,3.65
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.7,0.2,98.81,73.39,7.95,14.32
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.7,0.4,100.0,71.3,7.98,13.56
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.7,0.6,100.0,69.51,8.27,9.66
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.7,0.8,100.0,68.58,8.37,8.83
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.7,1.0,100.0,69.03,8.98,4.99
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.9,0.2,100.0,69.27,8.21,15.32
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.9,0.4,100.0,71.56,8.37,12.29
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.9,0.6,100.0,68.66,8.21,6.12
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.9,0.8,100.0,64.87,8.43,5.87
When was Tomoaki Komorida born?,gemini-2.0-flash-lite,0.9,1.0,100.0,63.91,8.67,0.0
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.1,0.2,71.12,42.51,4.45,20.59
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.1,0.4,71.22,44.17,4.41,16.97
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.1,0.6,73.79,42.32,4.79,13.16
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.1,0.8,79.11,41.52,5.72,13.19
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.1,1.0,79.55,39.53,5.14,8.44
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.3,0.2,76.76,42.2,5.24,20.29
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.3,0.4,77.85,43.02,5.88,13.8
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.3,0.6,77.8,39.81,5.19,13.62
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.3,0.8,82.45,39.27,6.17,11.2
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.3,1.0,83.35,40.03,6.53,4.29
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.5,0.2,80.17,43.06,5.09,14.15
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.5,0.4,80.62,41.11,6.4,13.38
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.5,0.6,84.71,37.9,6.38,11.76
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.5,0.8,84.74,39.89,6.88,8.6
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.5,1.0,87.29,39.94,7.1,4.08
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.7,0.2,82.74,39.08,6.08,14.45
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.7,0.4,86.9,40.09,5.9,15.16
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.7,0.6,88.52,39.31,6.93,9.01
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.7,0.8,91.39,39.06,6.72,8.25
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.7,1.0,93.09,36.33,7.24,4.79
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.9,0.2,86.23,39.41,7.0,11.32
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.9,0.4,91.16,36.18,6.87,11.46
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.9,0.6,91.63,34.51,7.65,5.89
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.9,0.8,93.44,36.79,7.36,7.08
"If I have more pieces at the time of stalemate, have I won?",gemini-2.0-flash-lite,0.9,1.0,97.87,33.91,7.29,4.49
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.1,0.2,55.83,37.88,10.16,21.75
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.1,0.4,60.27,36.91,10.27,18.96
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.1,0.6,59.9,34.55,10.62,13.04
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.1,0.8,63.87,34.89,10.54,10.75
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.1,1.0,66.54,33.65,10.85,6.83
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.3,0.2,59.86,34.15,10.02,16.32
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.3,0.4,63.01,36.05,10.12,13.9
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.3,0.6,64.82,35.23,11.18,12.75
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.3,0.8,66.04,32.07,10.35,7.96
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.3,1.0,67.64,31.05,10.86,5.25
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.5,0.2,66.11,34.54,10.85,14.76
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.5,0.4,67.71,33.63,11.16,14.44
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.5,0.6,68.13,32.76,10.45,8.31
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.5,0.8,72.03,32.24,11.32,7.4
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.5,1.0,70.58,32.18,10.5,2.9
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.7,0.2,67.83,32.21,11.42,13.11
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.7,0.4,70.65,32.76,11.28,10.75
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.7,0.6,71.7,31.47,10.97,11.56
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.7,0.8,75.59,30.22,11.29,7.06
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.7,1.0,76.61,32.12,10.9,1.67
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.9,0.2,71.58,30.29,10.65,11.25
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.9,0.4,70.97,30.8,11.26,9.55
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.9,0.6,73.9,31.16,11.5,7.52
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.9,0.8,77.74,31.36,11.71,5.55
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",gemini-2.0-flash-lite,0.9,1.0,79.65,30.73,11.38,2.07
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.1,0.2,86.09,1.63,9.07,17.63
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.1,0.4,87.16,0.0,9.07,17.62
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.1,0.6,90.65,0.0,9.09,15.4
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.1,0.8,96.27,0.0,8.94,8.68
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.1,1.0,95.66,0.0,8.83,6.7
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.3,0.2,88.87,1.85,9.26,19.05
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.3,0.4,95.3,2.0,9.16,14.22
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.3,0.6,94.66,1.03,9.01,13.51
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.3,0.8,100.0,0.0,9.24,10.41
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.3,1.0,100.0,0.0,9.04,5.6
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.5,0.2,96.18,1.43,8.84,18.16
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.5,0.4,97.65,1.78,9.51,14.3
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.5,0.6,100.0,0.0,9.01,13.82
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.5,0.8,100.0,0.06,9.9,8.95
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.5,1.0,100.0,0.0,9.03,4.17
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.7,0.2,100.0,0.5,9.54,13.62
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.7,0.4,100.0,1.71,9.24,13.59
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.7,0.6,100.0,1.89,9.54,7.84
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.7,0.8,100.0,0.2,9.56,3.96
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.7,1.0,100.0,1.65,9.55,1.1
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.9,0.2,100.0,0.0,9.67,13.85
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.9,0.4,100.0,1.34,10.08,9.26
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.9,0.6,100.0,0.0,10.1,7.85
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.9,0.8,100.0,1.46,9.42,6.54
Who gave the UN the land in NY to build their HQ,gemini-2.0-flash-lite,0.9,1.0,100.0,1.74,9.79,3.72
Why mobile is bad for human,gemini-2.0-flash-lite,0.1,0.2,84.63,0.0,4.68,23.19
Why mobile is bad for human,gemini-2.0-flash-lite,0.1,0.4,88.46,0.0,4.9,16.27
Why mobile is bad for human,gemini-2.0-flash-lite,0.1,0.6,91.71,0.17,5.08,13.13
Why mobile is bad for human,gemini-2.0-flash-lite,0.1,0.8,93.25,0.79,5.51,9.6
Why mobile is bad for human,gemini-2.0-flash-lite,0.1,1.0,98.6,0.0,6.01,9.43
Why mobile is bad for human,gemini-2.0-flash-lite,0.3,0.2,91.75,0.0,5.25,20.52
Why mobile is bad for human,gemini-2.0-flash-lite,0.3,0.4,95.42,0.0,4.79,15.61
Why mobile is bad for human,gemini-2.0-flash-lite,0.3,0.6,96.86,1.48,6.08,12.24
Why mobile is bad for human,gemini-2.0-flash-lite,0.3,0.8,99.6,0.0,6.2,9.06
Why mobile is bad for human,gemini-2.0-flash-lite,0.3,1.0,100.0,0.0,6.19,9.42
Why mobile is bad for human,gemini-2.0-flash-lite,0.5,0.2,94.85,0.77,5.74,19.11
Why mobile is bad for human,gemini-2.0-flash-lite,0.5,0.4,99.91,1.44,5.71,12.9
Why mobile is bad for human,gemini-2.0-flash-lite,0.5,0.6,100.0,1.04,6.6,8.22
Why mobile is bad for human,gemini-2.0-flash-lite,0.5,0.8,100.0,0.52,6.96,10.98
Why mobile is bad for human,gemini-2.0-flash-lite,0.5,1.0,100.0,0.0,6.28,5.8
Why mobile is bad for human,gemini-2.0-flash-lite,0.7,0.2,100.0,0.0,6.3,17.82
Why mobile is bad for human,gemini-2.0-flash-lite,0.7,0.4,100.0,1.18,6.13,11.65
Why mobile is bad for human,gemini-2.0-flash-lite,0.7,0.6,100.0,0.12,6.76,11.16
Why mobile is bad for human,gemini-2.0-flash-lite,0.7,0.8,100.0,0.0,7.44,7.12
Why mobile is bad for human,gemini-2.0-flash-lite,0.7,1.0,100.0,1.65,6.89,3.17
Why mobile is bad for human,gemini-2.0-flash-lite,0.9,0.2,100.0,0.0,6.01,15.63
Why mobile is bad for human,gemini-2.0-flash-lite,0.9,0.4,100.0,0.71,6.5,10.45
Why mobile is bad for human,gemini-2.0-flash-lite,0.9,0.6,100.0,0.35,7.4,7.35
Why mobile is bad for human,gemini-2.0-flash-lite,0.9,0.8,100.0,1.38,7.19,4.11
Why mobile is bad for human,gemini-2.0-flash-lite,0.9,1.0,100.0,0.0,7.97,2.25
Who was John Moses Browning?,gemini-2.0-flash-lite,0.1,0.2,51.12,82.43,12.23,21.15
Who was John Moses Browning?,gemini-2.0-flash-lite,0.1,0.4,49.97,82.01,12.01,18.67
Who was John Moses Browning?,gemini-2.0-flash-lite,0.1,0.6,50.79,80.68,11.9,16.62
Who was John Moses Browning?,gemini-2.0-flash-lite,0.1,0.8,53.46,79.95,12.16,10.31
Who was John Moses Browning?,gemini-2.0-flash-lite,0.1,1.0,56.59,77.73,12.37,9.53
Who was John Moses Browning?,gemini-2.0-flash-lite,0.3,0.2,52.66,81.6,12.06,21.02
Who was John Moses Browning?,gemini-2.0-flash-lite,0.3,0.4,54.33,77.99,11.96,16.08
Who was John Moses Browning?,gemini-2.0-flash-lite,0.3,0.6,56.4,75.61,11.91,14.08
Who was John Moses Browning?,gemini-2.0-flash-lite,0.3,0.8,55.9,74.28,12.33,12.43
Who was John Moses Browning?,gemini-2.0-flash-lite,0.3,1.0,59.04,75.9,12.8,5.14
Who was John Moses Browning?,gemini-2.0-flash-lite,0.5,0.2,56.19,77.18,12.52,18.48
Who was John Moses Browning?,gemini-2.0-flash-lite,0.5,0.4,55.97,74.21,12.83,11.84
Who was John Moses Browning?,gemini-2.0-flash-lite,0.5,0.6,60.21,75.69,12.67,13.88
Who was John Moses Browning?,gemini-2.0-flash-lite,0.5,0.8,61.94,73.97,12.36,9.74
Who was John Moses Browning?,gemini-2.0-flash-lite,0.5,1.0,59.85,71.4,12.59,6.04
Who was John Moses Browning?,gemini-2.0-flash-lite,0.7,0.2,58.46,74.59,12.79,18.04
Who was John Moses Browning?,gemini-2.0-flash-lite,0.7,0.4,57.93,71.69,11.96,14.71
Who was John Moses Browning?,gemini-2.0-flash-lite,0.7,0.6,61.46,72.91,12.31,6.78
